YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,CRS_ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,SkyCondition,DryBulbCelsius,Visibility,WindSpeed,WindDirection,StationPressure
2016,3,26,6,F9,1142,13303,12953,1322,34,1,1630,49,1,0,SCT032 BKN250,30,10,13,130,30.05
2016,3,26,6,F9,1143,12953,13303,1715,102,1,2053,89,1,0,CLR,7.2,10,0,0,30.21
2016,3,26,6,F9,1462,10397,12953,630,0,0,900,-45,0,0,OVC009,14.4,1,0,0,28.96
2016,3,26,6,F9,1463,12953,10397,945,0,0,1235,-21,0,0,CLR,7.2,10,5,80,30.18
2016,3,27,7,F9,1142,13303,12953,1322,85,1,1630,60,1,0,SCT024 BKN035 BKN085,28.3,10,20,120,30.06
2016,3,27,7,F9,1143,12953,13303,1715,57,1,2053,24,1,0,CLR,7.2,10,5,VR ,30.11
2016,3,28,1,F9,1142,13303,12953,1322,83,1,1630,61,1,0,FEW040 FEW085 SCT180,32.2,10,7,280,30
2016,3,28,1,F9,1143,12953,13303,1715,62,1,2053,64,1,0,BKN065,13.9,10,11,270,29.38
2016,3,28,1,F9,1462,10397,12953,630,0,0,859,-32,0,0,FEW007 SCT021,15.6,9,6,260,28.88
2016,3,28,1,F9,1463,12953,10397,945,0,0,1235,3,0,0,OVC005,7.2,3,8,90,29.53
2016,3,29,2,F9,1142,13303,12953,1322,67,1,1630,73,1,0,FEW026CB SCT055,25.6,10,8,140,30.02
2016,3,29,2,F9,1143,12953,13303,1715,72,1,2053,65,1,0,CLR,9.4,10,11,310,29.92
2016,3,29,2,F9,1462,10397,12953,630,61,1,859,39,1,0,FEW250,7.2,10,9,340,29.01
2016,3,29,2,F9,1463,12953,10397,945,38,1,1235,45,1,0,CLR,8.9,10,8,290,29.79
2016,3,18,5,F9,1462,10397,12953,630,0,0,900,-36,0,0,BKN140 BKN200 BKN250,12.8,10,3,290,28.88
2016,3,18,5,F9,1463,12953,10397,945,0,0,1235,-28,0,0,CLR,11.1,10,10,300,29.65
2016,3,18,5,F9,1142,13303,12953,1322,0,0,1630,-4,0,0,FEW048 SCT075 SCT200,30.6,10,13,200,29.91
2016,3,18,5,F9,1143,12953,13303,1715,0,0,2053,-6,0,0,BKN120,11.1,10,M,M,29.71
2016,3,19,6,F9,1462,10397,12953,630,0,0,900,-42,0,0,BKN044 BKN055 OVC250,13.9,10,3,210,28.81
2016,3,19,6,F9,1463,12953,10397,945,0,0,1235,-13,0,0,CLR,4.4,10,3,VR ,30
2016,3,19,6,F9,1142,13303,12953,1322,0,0,1630,-28,0,0,SCT036 BKN050 BKN120,30.6,10,20,180,29.83
2016,3,19,6,F9,1143,12953,13303,1715,0,0,2053,1,0,0,FEW120,7.8,10,5,40,29.92
2016,3,20,7,F9,1142,13303,12953,1322,0,0,1630,-35,0,0,FEW029 BKN038 BKN110,26.7,10,10,250,29.84
2016,3,20,7,F9,1143,12953,13303,1715,0,0,2053,0,0,0,OVC070,3.9,10,11,60,29.87
2016,3,20,7,F9,1462,10397,12953,630,0,0,900,-42,0,0,FEW020 FEW075,6.1,10,11,320,28.87
